org_id,organization_name,old_category,new_type,derived_state,needs_review
6157,Tata Power Renewable Energy Ltd.,Others,RE Generators,,
6158,NTPC Kawas Solar PV Project,Others,Others,Gujarat,YES
6159,NTPC Jhanor - Gandhar Solar PV Project,Others,Others,Gujarat,YES
6160,Ostro Energy Private Limited,Others,Others,,YES
6161,Adani Wind Energy Kutch Three Limited,Others,Others,Gujarat,YES
6162,Adani Wind Energy Kutch Five Limited,Others,Others,Gujarat,YES
6163,Gujarat State Electricity Corporation Limited,Others,Others,Gujarat,YES
6164,Avikaran Solar India Private Limited,Others,Others,,YES
6165,Powerica Limited,Others,Others,,YES
6166,Sitac Kabini Renewables Private Limited,Others,Others,,YES
6167,Srijan Energy Systems Private Limited,Others,Others,,YES
6168,Solapur Solar PV Project,Others,Others,Maharashtra,YES
6169,Adani Wind Energy MP One Private Limited,Others,Others,,YES
6170,Adani Wind Energy Kutch Four Limited,Others,Others,Gujarat,YES
6171,Apraava Energy Private Limited (AEPL),Others,Others,,YES
6172,Alfanar Netra Wind Private Limited,Others,Others,,YES
6173,Sherisha Raipur,Others,Others,Chhattisgarh,YES
6174,Wind One Renergy Limited,Others,Others,,YES
6175,Wind Two Renergy Private Limited,Others,Others,,YES
6176,Wind Three Renergy Limited,Others,Others,,YES
6177,Wind Five Renergy Limited,Others,Others,,YES
6178,Gujarat State Electricity Corporation Limited- Phase II,Others,Others,Gujarat,YES
6179,TEQ Green Power XI Private Limited,Others,Others,,YES
6180,NTPC Renewable Energy Limited Shajapur Unit-1,Others,RE Generators,,
6181,NTPC Renewable Energy Limited Shajapur Unit-2,Others,RE Generators,,
6182,NTPC Renewable Energy Ltd (Dayapar WEP-Ph-1),Others,RE Generators,,
6183,TP Saurya Limited Unit-1,Others,Others,,YES
6184,TP Saurya Limited Unit-2,Others,Others,,YES
6185,MASAYA Solar Energy Private Limited,Others,Others,,YES
6186,Torrent Power Limited,Others,Others,,YES
6187,Talettutayi Solar Projects Nine Pvt Ltd,Others,Others,,YES
6188,SJVN Green Energy Limited,Others,Others,,YES
6189,Renew Green (MHS One) Private Limited,Others,Others,,YES
6190,Renew Green (MHP One) Private Limited,Others,Others,,YES
6191,Beempow Energy Private Limited,Others,Others,,YES
6192,AVAADA Sunshine Energy Private Limited,Others,Others,,YES
6193,Adani Green Energy Twenty Six A Limited -PSS3,Others,Others,,YES
6194,Adani Green Energy Twenty Six B Limited -PSS3,Others,Others,,YES
6195,Adani Green Energy Twenty Five A Limited -PSS3,Others,Others,,YES
6196,Adani Green Energy Twenty Five B Limited -PSS3,Others,Others,,YES
6197,Adani Green Energy Twenty Four A Limited -PSS3,Others,Others,,YES
6198,Adani Renewable Energy Fifty Five Limited - PSS3,Others,RE Generators,,
6199,Adani Renewable Energy Forty One Limited PSS-13,Others,RE Generators,,
6200,Adani Renewable Energy Fifty Seven Limited PSS-13,Others,RE Generators,,
6201,Ambuja Cements Limited -PSS-4,Others,Others,,YES
6202,Ambuja Cements Limited-PSS-3,Others,Others,,YES
6203,Adani Hazira Port Limited-PSS3,Others,Others,Gujarat,YES
6204,Adani Renewable Energy Forty Eight Limited-PSS9,Others,RE Generators,,
6205,Adani Renewable Energy Fifty Six Limited – PSS4,Others,RE Generators,,
6206,Adani Renewable Energy Holding Four Limited-PSS1,Others,RE Generators,,
6207,Adani Renewable Energy Forty One Limited - PSS3,Others,RE Generators,,
6208,Adani Renewable Energy Forty One Limited – PSS4,Others,RE Generators,,
6209,Adani Renewable Energy Fifty Six Limited – PSS9,Others,RE Generators,,
6210,Adani Solar Energy Jodhpur Six Private Limited- PSS9,Others,Others,Rajasthan,YES
6211,Adani Hybrid Energy Jaisalmer Five Limited -PSS4,Others,Others,,YES
6212,Adani Green Energy Twenty Four Limited – PSS-4,Others,Others,,YES
6213,Adani Ports And Special Economic Zone Limited -PSS4,Others,Others,,YES
6214,Adani Ports And Special Economic Zone Limited -PSS3,Others,Others,,YES
6215,QCA For Bhuj-I ISTS Pooling Station,Others,Others,,YES
6216,M/S Manikaran Analytics Limited,Others,Others,,YES
6217,QCA For Regss Of PSS1 & PSS2 At 765/400 kV KPS-1 ISTS Pooling Station,Others,Others,,YES
6218,M/S Adani Renewable Energy Holding Five Limited,Others,RE Generators,,
6219,ACB (India) Limited,Others,Others,,YES
6220,Chakabura 2X30 MW Thermal Power Plant,Others,Thermal,,
6221,SCPL (Ratija) 1X50 MW Thermal Power Plant,Others,Thermal,,
6222,MCCPL 1X300 MW Thermal Power Plant,Others,Thermal,,
6223,Adani Power (Mundra) Limited,Others,Others,Gujarat,YES
6224,"Adani Power Limited, Tiroda",Others,Others,,YES
6225,Bharat Aluminum Company Limited,Others,Others,,YES
6226,The Tata Power Co Limited Mundra (MTPS),Others,Others,Gujarat,YES
6227,DB Power Limited,Others,Others,,YES
6228,DGEN Mega Power Project,Others,Others,,YES
6229,Dhariwal Infrastructure Limited,Others,Others,,YES
6230,Dongamouha Captive Power Plant (DCPP),Others,Others,,YES
6231,Mahan Energen Limited (Formally Essar Power (MP) Limited,Others,Others,,YES
6232,GMR Warora Energy Limited,Others,Others,Maharashtra,YES
6233,Jaypee Nigrie STPP,Others,Thermal,,
6234,Jhabua Power Limited,Others,Others,,YES
6235,Jindal Power Limited,Others,Others,,YES
6236,KSK Mahanadi Power Company Limited (JSW Energy),Others,Others,,YES
6237,LANCO Amarkantak Power Limited,Others,Others,,YES
6238,MB Power (MP) Limited,Others,Others,,YES
6239,NTPC-SAIL Power Company Private Limited (NSPCL),Others,Others,,YES
6240,Raigarh Energy Generation Limited,Others,Others,Chhattisgarh,YES
6241,Adani Power Limited - Raipur,Others,Others,Chhattisgarh,YES
6242,Ratnagiri Gas & Power Private Limited,Others,Thermal,Maharashtra,
6243,RKM Powergen Private Limited,Others,Others,,YES
6244,SASAN Power Limited,Others,Others,Madhya Pradesh,YES
6245,SKS Power Generation (C.G) Limited,Others,Generation Company,,
6246,TRN Energy Private Limited,Others,Others,,YES
6247,Adani Power Limited,Others,Others,,YES
6248,AMNS (Essar) Power Transmission Company Limited,Others,Others,,YES
6249,India Grid Trust (Indigrid),Others,Others,,YES
6250,"Bhopal - Dhule Transmission Co. Ltd (BDTCL), 765/400 kV Bhopal Sub Station",Others,Others,Madhya Pradesh,YES
6251,Jabalpur Transmission Co. Ltd (JTCL),Others,Others,Madhya Pradesh,YES
6252,RAPP Transmission Co. Ltd (RTCL),Others,Others,,YES
6253,Raichur Sholapur Transmission Company Private Limited (RSTCPL),Others,Others,,YES
6254,Odisha Generation Phase-II Transmission Limited,Others,Others,,YES
6255,Khargone Transmission Limited (Khtl),Others,Others,Madhya Pradesh,YES
6256,Central Operations Control Room ENOC (Energy Network Operations Centre),Others,Others,,YES
6257,Sterlite Power Transmission Limited,Others,Others,,YES
6258,Lakadia Vadodara Transmission Project Limited,Others,Others,Gujarat,YES
