id,station,category,raw_value,signals
7673,Khopoli & Bhivpuri,control_room,Maharashtra 17. Khopoli & Bhivpuri,city/state name(s): maharashtra
7719,Gujarat Industries Power Company Limited,control_room,Gujarat Industries Power Company Limited,city/state name(s): gujarat
7727,Gujarat State Electricity Corporation Limited,control_room,Gujarat State Electricity Corporation Limited,city/state name(s): gujarat
7739,Sherisha Raipur,control_room,Sherisha Raipur,city/state name(s): raipur
7744,Gujarat State Electricity Corporation Limited- Phase II,control_room,Gujarat State Electricity Corporation Limited- Phase II,city/state name(s): gujarat
7862,"POWERGRID WRTS-I, Nagpur",control_room,RTAMC Nagpur,city/state name(s): nagpur
