station,app_has_issue,app_issue_types,word_has_issue,word_issue_types,likely_origin
Ratnagiri Gas & Power Private Limited,False,,True,duplicated_phone,word_only_not_in_app
Renew Power Limited,False,,True,duplicated_phone,word_only_not_in_app
Renew Wind Energy (AP2) Private Limited,False,,True,duplicated_phone,word_only_not_in_app
SASAN Power Limited,False,,True,duplicated_phone,word_only_not_in_app
SKS Power Generation (C.G) Limited,False,,True,duplicated_phone,word_only_not_in_app
SSP,True,address_in_name,True,address_in_name; duplicated_phone,originated_in_word
Sherisha Raipur,True,address_in_name,True,duplicated_phone,mixed
Solapur Solar PV Project,False,,True,garbled_field,word_only_not_in_app
"Southern Regional Load Despatch Centre, Bengaluru",False,,True,duplicated_phone,word_only_not_in_app
Sugen,False,,True,duplicated_phone,word_only_not_in_app
TRN Energy Private Limited,False,,True,duplicated_phone,word_only_not_in_app
Tarapur Atomic Power Station Stg-1 & 2,False,,True,duplicated_phone,word_only_not_in_app
Tarapur Atomic Power Station Stg-3 & 4,False,,True,duplicated_phone,word_only_not_in_app
Tata Power Mumbai,True,possible_duplicate_row,True,duplicated_phone,mixed
Tata Power Renewable Energy Ltd.,False,,True,duplicated_phone,word_only_not_in_app
The Tata Power Co Limited Mundra (MTPS),True,possible_duplicate_row,True,duplicated_phone; garbled_field,mixed
UKAI,False,,True,duplicated_phone,word_only_not_in_app
Uran,False,,True,duplicated_phone,word_only_not_in_app
"Vidyut Bhavan, 3rd Floor, Panaji, Goa-403 001",True,address_in_name,True,address_in_name; duplicated_phone,originated_in_word
Western Region Load Despatch Centre,False,,True,duplicated_phone; garbled_field,word_only_not_in_app
Western Regional Power Committee,False,,True,duplicated_phone; garbled_field,word_only_not_in_app
Wind Two Renergy Private Limited,False,,True,garbled_field,word_only_not_in_app
