organization,word_section,word_implied_category,app_current_category,match
"Vidyut Bhavan, 3rd Floor, Panaji, Goa-403 001",Goa Electricity Department,SLDC,Others,no
Western Region Load Despatch Centre,Western Region Load Despatch Centre,RLDC,RLDC,yes
"Power System Operation Corporation Limited National Load Despatch Centre (NLDC), New Delhi",NLDC and RLDCs,RLDC,RLDC,yes
Arinsun Clean Energy Private Limited,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
INOX Green Energy Services Limited,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Gujarat Industries Power Company Limited,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Sitac Kabini Renewables Private Limited,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Srijan Energy Systems Private Limited,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
TP Saurya Limited Unit-1,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
TP Saurya Limited Unit-2,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
Adani Power Limited,Other Transmission Licensees in Western Region,Transmission Utility,Transmission Utility,yes
Adani Ports And Special Economic Zone Limited -PSS3,ISTS Connected RE Generators in Western Region,Generation Company,Generation Company,yes
AMNS (Essar) Power Transmission Company Limited,Other Transmission Licensees in Western Region,Transmission Utility,Transmission Utility,yes
India Grid Trust (Indigrid),Other Transmission Licensees in Western Region,Transmission Utility,Transmission Utility,yes
Sterlite Power Transmission Limited,Other Transmission Licensees in Western Region,Transmission Utility,Transmission Utility,yes
Rajgarh Transmission Limited,Other Transmission Licensees in Western Region,Transmission Utility,Transmission Utility,yes
